batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
046_04,2,046_ST_V10A20_011_4_04.tif,046_MP_F3.vsi - old_05 - 20x_BF_04.tif,-0.07346125692129135,0,-0.11467676609754562,0,-0.16592533886432648,0,-0.21986688673496246,0,-0.29547691345214844,89,-0.40016892552375793,89,-0.49374279379844666,267,-0.6566528677940369,348,-0.7045736312866211,267,338.0,-0.6119939088821411
046_04,3,046_MP_F3.vsi - old_05 - 20x_BF_04.tif,046 M+ V6 HES.vsi - 20x_BF_04.tif,-0.07121772319078445,0,-0.12187985330820084,0,-0.18191049993038177,0,-0.23607169091701508,0,-0.33286163210868835,1,-0.42856812477111816,1,-0.5261358618736267,79,-0.6826490759849548,357,-0.7338612675666809,3,59.0,-0.6683511137962341
046_04,4,046 M+ V6 HES.vsi - 20x_BF_04.tif,046 M- V7 HES.vsi - 20x_BF_04.tif,-0.06858044862747192,0,-0.1132076308131218,0,-0.17224529385566711,0,-0.23999789357185364,0,-0.3624913692474365,181,-0.4658237099647522,359,-0.5670413374900818,181,-0.7022940516471863,359,-0.7702458500862122,201,201.0,-0.65769362449646
046_04,5,046 M- V7 HES.vsi - 20x_BF_04.tif,046 MM V8_01.vsi - 20x_BF_04.tif,-0.06548753380775452,0,-0.11202174425125122,0,-0.16536930203437805,0,-0.19989050924777985,0,-0.22941431403160095,181,-0.29482871294021606,179,-0.39454570412635803,294,-0.5389116406440735,309,-0.6277664303779602,309,224.0,-0.5473740100860596
046_04,6,046 MM V8_01.vsi - 20x_BF_04.tif,046_LPS_F9_094744_202205.vsi - 40x_BF_04.tif,-0.0719950869679451,0,-0.12491650134325027,0,-0.1734723448753357,0,-0.19790880382061005,0,-0.22909127175807953,90,-0.27210867404937744,86,-0.34900572896003723,86,-0.46409523487091064,178,-0.5584810972213745,86,112.0,-0.4670039117336273
046_04,7,046_LPS_F9_094744_202205.vsi - 40x_BF_04.tif,046_LTA_F10_100202_202205.vsi - 40x_BF_04.tif,-0.06929414719343185,0,-0.123698890209198,0,-0.1817815601825714,0,-0.22154207527637482,0,-0.2974529266357422,91,-0.3667907416820526,89,-0.4622620940208435,20,-0.5577652454376221,31,-0.6483857035636902,21,31.0,-0.5572458505630493
046_04,8,046_LTA_F10_100202_202205.vsi - 40x_BF_04.tif,046 HE R11_1.vsi - 20x_04.tif,-0.06943544000387192,0,-0.12349147349596024,0,-0.19196996092796326,0,-0.26740825176239014,0,-0.3702460527420044,271,-0.47703224420547485,284,-0.583224356174469,297,-0.7096533179283142,302,-0.7633824944496155,302,318.0,-0.7132111191749573
046_04,9,046 HE R11_1.vsi - 20x_04.tif,046 HE R21_1.vsi - 20x_04.tif,-0.07362651079893112,0,-0.12414836883544922,0,-0.1962679624557495,0,-0.29047518968582153,0,-0.4130971431732178,359,-0.5253607630729675,2,-0.6477312445640564,27,-0.7833202481269836,26,-0.828471839427948,39,39.0,-0.7853184938430786
048_01,1,048 HE R1_1.vsi - 20x_01.tif,048_ST_V10A20_009_1_01.tif,-0.08191923797130585,0,-0.12645895779132843,0,-0.18700386583805084,0,-0.26835688948631287,0,-0.37824729084968567,1,-0.5068652033805847,48,-0.6049999594688416,48,-0.7258703708648682,48,-0.779719889163971,48,48.0,-0.722805917263031
048_01,2,048_ST_V10A20_009_1_01.tif,048_MP_F3.vsi - 20x_BF_01.tif,-0.0779641643166542,0,-0.12112443149089813,0,-0.1660611480474472,0,-0.1932341754436493,0,-0.22063635289669037,270,-0.30074670910835266,1,-0.3859747350215912,284,-0.5219343304634094,22,-0.5938061475753784,22,22.0,-0.505470335483551
048_01,3,048_MP_F3.vsi - 20x_BF_01.tif,048 M+ V6 HES.vsi - 20x_BF_01.tif,-0.07500796020030975,0,-0.12466297298669815,0,-0.17777042090892792,0,-0.21273772418498993,0,-0.24615323543548584,90,-0.34085580706596375,46,-0.4252992272377014,44,-0.5611271858215332,45,-0.6295151114463806,45,45.0,-0.5746840238571167
048_01,4,048 M+ V6 HES.vsi - 20x_BF_01.tif,048 M- V7 HES.vsi - 20x_BF_01.tif,-0.0755566731095314,0,-0.12797683477401733,0,-0.19036363065242767,0,-0.25036948919296265,0,-0.40275612473487854,262,-0.5107719898223877,262,-0.6121659874916077,262,-0.7142488956451416,262,-0.7777495980262756,262,262.0,-0.6924256086349487
048_01,5,048 M- V7 HES.vsi - 20x_BF_01.tif,048 MM V8_01.vsi - 20x_BF_01.tif,-0.07286274433135986,0,-0.12962737679481506,0,-0.1939309984445572,0,-0.24116577208042145,0,-0.2938433885574341,180,-0.31876513361930847,181,-0.40985774993896484,181,-0.4999221861362457,325,-0.6058991551399231,207,304.0,-0.5404660701751709
048_01,6,048 MM V8_01.vsi - 20x_BF_01.tif,048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif,-0.07695513218641281,0,-0.14138421416282654,0,-0.21038028597831726,0,-0.2591775953769684,0,-0.2674471437931061,0,-0.28452935814857483,347,-0.35923510789871216,346,-0.4222078323364258,116,-0.5277695059776306,346,346.0,-0.4988369643688202
048_01,7,048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif,048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,-0.07091815024614334,0,-0.13190396130084991,0,-0.196359783411026,0,-0.24543358385562897,0,-0.2726825773715973,181,-0.3309084475040436,188,-0.3951491117477417,187,-0.5143530964851379,189,-0.5681203603744507,187,188.0,-0.5290755033493042
048_01,8,048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,048 HE R11_1.vsi - 20x_01.tif,-0.07056136429309845,0,-0.1237838938832283,0,-0.1847221404314041,0,-0.23261362314224243,0,-0.2761107087135315,270,-0.3394852876663208,120,-0.42922598123550415,251,-0.5360094904899597,318,-0.6222601532936096,120,120.0,-0.5735822319984436
048_01,9,048 HE R11_1.vsi - 20x_01.tif,048 HE R21_1.vsi - 20x_01.tif,-0.07662884145975113,0,-0.1269344836473465,0,-0.19106212258338928,0,-0.26214852929115295,0,-0.3299214839935303,0,-0.42451104521751404,35,-0.5197710394859314,35,-0.6368373036384583,125,-0.7101099491119385,29,33.0,-0.65473473072052
001_01,1,001 HE R1_1.vsi - 20x_01.tif,001_ST_V19S23_106_1_01.tif,-0.06859729439020157,0,-0.11011074483394623,0,-0.16280192136764526,0,-0.22940059006214142,180,-0.34232819080352783,179,-0.4376045763492584,166,-0.5255761742591858,157,-0.6591259837150574,155,-0.7327583432197571,155,155.0,-0.6931275725364685
001_01,2,001_ST_V19S23_106_1_01.tif,001_MP_F3.vsi - 20x_BF_01.tif,-0.06905759871006012,0,-0.1165194883942604,0,-0.17935220897197723,0,-0.24800007045269012,0,-0.3246925175189972,0,-0.4044222831726074,179,-0.5112109780311584,357,-0.6416492462158203,162,-0.6941099166870117,350,350.0,-0.6683295965194702
001_01,3,001_MP_F3.vsi - 20x_BF_01.tif,001 M+ V6 HES.vsi - 20x_BF_01.tif,-0.06299932301044464,0,-0.11538448929786682,0,-0.1739763617515564,0,-0.2184404879808426,0,-0.3008984625339508,270,-0.3817211091518402,269,-0.48211801052093506,116,-0.6337419152259827,118,-0.695854902267456,117,117.0,-0.669948935508728
001_01,4,001 M+ V6 HES.vsi - 20x_BF_01.tif,001 M- V7 HES.vsi - 20x_BF_01.tif,-0.06072377413511276,0,-0.10607871413230896,0,-0.1552860140800476,90,-0.5725024342536926,264,-0.33400771021842957,271,-0.42502132058143616,271,-0.5169073939323425,271,-0.6723788380622864,56,-0.7323994040489197,56,56.0,-0.6476189494132996
001_01,5,001 M- V7 HES.vsi - 20x_BF_01.tif,001  MM V8.vsi - 20x_BF_01.tif,-0.06624481827020645,0,-0.1225164532661438,0,-0.18176457285881042,0,-0.25693583488464355,270,-0.29729893803596497,270,-0.36792340874671936,263,-0.4623066186904907,262,-0.6225792169570923,295,-0.6712319254875183,260,299.0,-0.6141198873519897
001_01,6,001  MM V8.vsi - 20x_BF_01.tif,001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,-0.06930086016654968,0,-0.1262701153755188,0,-0.20153750479221344,0,-0.26618731021881104,0,-0.2834590971469879,0,-0.31711503863334656,1,-0.38628119230270386,1,-0.5199468731880188,15,-0.5582061409950256,54,218.0,-0.5148587822914124
001_01,7,001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,-0.0662684440612793,0,-0.12188392877578735,0,-0.18298164010047913,0,-0.2065582275390625,270,-0.24429279565811157,90,-0.30266401171684265,228,-0.3923323452472687,225,-0.48841509222984314,47,-0.567678689956665,47,47.0,-0.5396602749824524
001_01,8,001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,001 HE R11_1.vsi - 20x_01.tif,-0.06457780301570892,0,-0.11170479655265808,0,-0.16579565405845642,0,-0.22339364886283875,270,-0.30991652607917786,269,-0.38894692063331604,262,-0.49454817175865173,263,-0.6405492424964905,276,-0.696847677230835,273,291.0,-0.6584846377372742
001_01,9,001 HE R11_1.vsi - 20x_01.tif,001 HE R21_1.vsi - 20x_01.tif,-0.07253331691026688,0,-0.11947249621152878,0,-0.17876450717449188,0,-0.2286890745162964,0,-0.3257739841938019,181,-0.4489738643169403,196,-0.5478074550628662,196,-0.7286455631256104,197,-0.7624734044075012,197,198.0,-0.6768576502799988
004_01,1,004 HE R1_1.vsi - 20x_01.tif,004_ST_V19S23_108_1_01.tif,-0.08649744838476181,0,-0.12822094559669495,0,-0.1794447898864746,0,-0.23726272583007812,0,-0.32134872674942017,1,-0.41672900319099426,321,-0.49700063467025757,320,-0.63625168800354,321,-0.6748364567756653,176,309.0,-0.595073938369751
004_01,2,004_ST_V19S23_108_1_01.tif,004_MP_F3.vsi - 20x_BF_01.tif,-0.09512455761432648,0,-0.14007407426834106,0,-0.18193626403808594,0,-0.2163366824388504,90,-0.30680835247039795,90,-0.3809414207935333,342,-0.5058913230895996,342,-0.6019911170005798,341,-0.6946443319320679,341,341.0,-0.622868537902832
004_01,3,004_MP_F3.vsi - 20x_BF_01.tif,004 M+ V6 HES.vsi - 20x_BF_01.tif,-0.0836501270532608,0,-0.12930187582969666,0,-0.1839016079902649,0,-0.2249254286289215,0,-0.2994964122772217,180,-0.36186495423316956,4,-0.45509085059165955,20,-0.5975385308265686,301,-0.667959988117218,301,304.0,-0.6028475761413574
004_01,4,004 M+ V6 HES.vsi - 20x_BF_01.tif,004 M- V7 HES.vsi - 20x_BF_01.tif,-0.0809602364897728,0,-0.19862225651741028,131,-0.1588437706232071,0,-0.20453204214572906,270,-0.2711060047149658,270,-0.3364766538143158,271,-0.41417163610458374,281,-0.565092921257019,285,-0.6016908884048462,88,247.0,-0.4257059693336487
