batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
045_03,8,045_LTA_F10_100028_202205.vsi - 40x_BF_03.tif,045 HE R11_1.vsi - 20x_03.tif,-0.1265152096748352,88,-0.0790172666311264,88,-0.07588580250740051,44,-0.1520276814699173,88,-0.34819844365119934,88,-0.49030473828315735,88,-0.6115269064903259,88,-0.7152137756347656,88,-0.7733593583106995,88,88.0,-0.7610570788383484
045_03,9,045 HE R11_1.vsi - 20x_03.tif,045 HE R21_1.vsi - 20x_03.tif,-0.14091262221336365,168,-0.0987556129693985,168,-0.11087964475154877,6,-0.19808927178382874,5,-0.39475688338279724,5,-0.5224125981330872,165,-0.6424784064292908,338,-0.747907817363739,4,-0.8026134967803955,5,168.0,-0.7811111807823181
048_02,1,048 HE R1_1.vsi - 20x_02.tif,048_ST_V10A20_009_2_02.tif,-0.20919661223888397,238,-0.21066704392433167,238,-0.27596455812454224,238,-0.40150463581085205,238,-0.5746564269065857,238,-0.7016705274581909,238,-0.755672812461853,238,-0.8016058802604675,238,-0.8526050448417664,238,238.0,-0.8399924039840698
048_02,2,048_ST_V10A20_009_2_02.tif,048_MP_F3.vsi - 20x_BF_02.tif,-0.118944451212883,198,-0.07773672789335251,199,-0.06211670860648155,199,-0.09137255698442459,199,-0.21763525903224945,199,-0.3483896553516388,199,-0.4443154036998749,199,-0.5772975087165833,199,-0.6360797882080078,199,199.0,-0.6165280342102051
048_02,3,048_MP_F3.vsi - 20x_BF_02.tif,048 M+ V6 HES.vsi - 20x_BF_02.tif,-0.11456044763326645,281,-0.07384703308343887,281,-0.04724031686782837,278,-0.059881120920181274,279,-0.15669330954551697,132,-0.27092376351356506,277,-0.35856086015701294,277,-0.47938528656959534,338,-0.5670439600944519,278,278.0,-0.5378800630569458
048_02,4,048 M+ V6 HES.vsi - 20x_BF_02.tif,048 M- V7 HES.vsi - 20x_BF_02.tif,-0.16832613945007324,33,-0.1501748263835907,33,-0.19146060943603516,33,-0.30964723229408264,34,-0.477059930562973,34,-0.5929023027420044,34,-0.6603277325630188,34,-0.7273458242416382,34,-0.7847603559494019,34,34.0,-0.7635819911956787
048_02,5,048 M- V7 HES.vsi - 20x_BF_02.tif,048 MM V8_01.vsi - 20x_BF_02.tif,-0.10434590280056,39,-0.0656377524137497,39,-0.03752802312374115,203,-0.028805317357182503,249,-0.0839010626077652,199,-0.17945733666419983,198,-0.2597149908542633,199,-0.42235326766967773,198,-0.4768274128437042,198,198.0,-0.4669221043586731
048_02,6,048 MM V8_01.vsi - 20x_BF_02.tif,048_LPS_F9_095142_202205.vsi - 40x_BF_02.tif,-0.10118748247623444,298,-0.06465624272823334,300,-0.05315740406513214,300,-0.07314813882112503,300,-0.18201041221618652,307,-0.28705161809921265,299,-0.3829542100429535,308,-0.47201550006866455,299,-0.5591607689857483,299,299.0,-0.5997271537780762
048_02,7,048_LPS_F9_095142_202205.vsi - 40x_BF_02.tif,048_LTA_F10_100505_202205.vsi - 40x_BF_02.tif,-0.11205510795116425,150,-0.09103503823280334,150,-0.1039552167057991,150,-0.18061216175556183,150,-0.3214077353477478,152,-0.4490746557712555,151,-0.540479302406311,152,-0.5970750451087952,150,-0.6613161563873291,151,151.0,-0.691551923751831
048_02,8,048_LTA_F10_100505_202205.vsi - 40x_BF_02.tif,048 HE R11_1.vsi - 20x_02.tif,-0.11061786115169525,27,-0.07128484547138214,27,-0.05870779603719711,27,-0.10019111633300781,27,-0.23305892944335938,28,-0.35800811648368835,29,-0.4495184123516083,30,-0.5849434733390808,28,-0.6432814002037048,30,30.0,-0.6468315720558167
