batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
001_01,8,001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,001 HE R11_1.vsi - 20x_01.tif,-0.11166040599346161,83,-0.07451453804969788,83,-0.0685221329331398,83,-0.1251174509525299,83,-0.274875670671463,83,-0.43225759267807007,85,-0.5414712429046631,83,-0.6875090003013611,236,-0.7267406582832336,238,238.0,-0.7224934101104736
001_01,9,001 HE R11_1.vsi - 20x_01.tif,001 HE R21_1.vsi - 20x_01.tif,-0.12132138013839722,307,-0.08456330746412277,300,-0.09077972918748856,300,-0.16137467324733734,316,-0.34296995401382446,315,-0.5132904052734375,315,-0.6189743876457214,316,-0.7403467297554016,316,-0.8037482500076294,316,316.0,-0.788115382194519
004_01,1,004 HE R1_1.vsi - 20x_01.tif,004_ST_V19S23_108_1_01.tif,-0.13740023970603943,36,-0.0990084558725357,37,-0.09512825310230255,37,-0.1376868188381195,39,-0.25754645466804504,40,-0.3666231632232666,38,-0.45878541469573975,38,-0.5772188305854797,41,-0.6538258790969849,39,40.0,-0.6258330345153809
004_01,2,004_ST_V19S23_108_1_01.tif,004_MP_F3.vsi - 20x_BF_01.tif,-0.13879123330116272,3,-0.09229059517383575,20,-0.07998866587877274,19,-0.13596627116203308,18,-0.2801949083805084,20,-0.41093507409095764,18,-0.5174389481544495,18,-0.6236988306045532,19,-0.7066841125488281,18,18.0,-0.693507969379425
004_01,3,004_MP_F3.vsi - 20x_BF_01.tif,004 M+ V6 HES.vsi - 20x_BF_01.tif,-0.12789057195186615,229,-0.08561486005783081,228,-0.06912219524383545,229,-0.10268044471740723,230,-0.24033769965171814,231,-0.368813693523407,226,-0.4622593820095062,227,-0.5234929323196411,227,-0.6048818230628967,228,228.0,-0.6054162979125977
004_01,4,004 M+ V6 HES.vsi - 20x_BF_01.tif,004 M- V7 HES.vsi - 20x_BF_01.tif,-0.14164409041404724,52,-0.10743295401334763,49,-0.10303227603435516,49,-0.14315611124038696,50,-0.22763073444366455,47,-0.3344138264656067,47,-0.39555487036705017,46,-0.5034412741661072,50,-0.5483794808387756,47,48.0,-0.5425309538841248
004_01,5,004 M- V7 HES.vsi - 20x_BF_01.tif,004 MM V8_01.vsi - 20x_BF_01.tif,-0.12206508219242096,188,-0.08835155516862869,188,-0.06839999556541443,188,-0.07683093100786209,187,-0.12294553965330124,187,-0.1900370568037033,187,-0.26013851165771484,188,-0.3678286075592041,31,-0.41825613379478455,124,276.0,-0.4058058559894562
004_01,6,004 MM V8_01.vsi - 20x_BF_01.tif,004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,-0.11901900172233582,83,-0.08251337707042694,83,-0.07565959542989731,83,-0.11702866107225418,83,-0.23981386423110962,84,-0.39607882499694824,85,-0.48601195216178894,85,-0.5963671803474426,83,-0.6291471123695374,84,84.0,-0.6717288494110107
004_01,7,004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,-0.11471438407897949,302,-0.0852803885936737,303,-0.08439436554908752,303,-0.13167095184326172,303,-0.2215895801782608,303,-0.36622628569602966,304,-0.44926702976226807,304,-0.5486032366752625,304,-0.5774397253990173,303,303.0,-0.6198800802230835
004_01,8,004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,004 HE R11_1.vsi - 20x_01.tif,-0.1079004555940628,59,-0.0683845803141594,318,-0.04977056011557579,318,-0.06975294649600983,344,-0.1438641995191574,339,-0.24279777705669403,340,-0.3022504150867462,144,-0.4101720452308655,341,-0.47705259919166565,321,321.0,-0.4942057728767395
